,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
5198,113473073,5638840,20160226,202400,203400,202500,202600,202700,202800,202900,203000,203200,203300,13000,10300,16200,6600,1900,11500,16600,29000,1000,7200,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,5100,3000,13000,9100,41600,31900,1000,4500,800,4100,204500,220700,0,197200,180500,202100,5446,203300,200600,0,0,0,0,100956520,1980921,1577560,214300,191400,0,'002099','002099.SZ','0D10:10:01.962023000'
5208,113527721,5641540,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,1100,7200,10300,16200,6600,1900,11500,16600,29000,1000,202200,201200,202100,202000,201900,201800,201700,201600,201500,201400,200,4100,5100,13000,9100,41600,31400,1000,5000,800,204500,220700,0,197200,180500,202400,5451,203300,200600,0,0,0,0,101001080,1979321,1578460,214300,191400,0,'002099','002099.SZ','0D10:10:05.014681000'
5218,113547951,5642540,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,5000,7200,10400,14200,6600,1900,11500,16600,29000,1000,202200,201200,202100,202000,201900,201800,201700,201600,201500,201400,200,700,5100,13000,9100,41600,31400,1000,5000,800,204500,220700,0,197200,180500,202300,5452,203300,200600,0,0,0,0,101003980,1982321,1575860,214300,191400,0,'002099','002099.SZ','0D10:10:08.076683000'
5228,113594480,5644840,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,13000,7200,10400,14200,6600,1900,11500,16600,29000,1000,202200,201200,202100,202000,201900,201800,201700,201600,201500,201400,200,700,6200,13000,9100,39100,31400,1000,5000,800,204500,220700,0,197200,180500,202300,5454,203300,200600,0,0,0,0,101006710,1987321,1572460,214300,191400,0,'002099','002099.SZ','0D10:10:10.960507000'
5238,113598524,5645040,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,15200,7200,10400,14200,6600,1900,11500,16600,29500,1000,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,6200,3000,13000,9100,39100,31400,1000,5000,800,700,204500,220700,0,197200,180500,202200,5455,203300,200600,0,0,0,0,101009690,1990021,1572260,214300,191400,0,'002099','002099.SZ','0D10:10:14.026464000'
5248,113624799,5646340,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,15100,7200,10400,14200,6600,1900,11400,16600,29500,1000,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,5000,3000,13000,9100,39100,31400,1000,5000,800,700,204500,220700,0,197200,180500,202100,5458,203300,200600,0,0,0,0,101012570,1989821,1571260,214300,191400,0,'002099','002099.SZ','0D10:10:17.032464000'
5258,113632883,5646740,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,15100,7200,8400,4400,6600,2400,11400,16600,29500,1000,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,4600,3000,13000,9100,39100,31400,1000,5000,800,700,204500,220700,0,197200,180500,202100,5459,203300,200600,0,0,0,0,101016310,1978521,1570960,214300,191400,0,'002099','002099.SZ','0D10:10:19.955458000'
5268,113638952,5647040,20160226,202300,203300,202400,202500,202600,202700,202800,202900,203000,203200,18900,7200,8600,4400,6600,2400,11400,16600,29500,1000,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,3600,2200,13000,9100,39100,31400,1000,5000,800,700,204500,220700,0,197200,180500,202300,5460,203300,200600,0,0,0,0,101019300,1981921,1569160,214300,191400,0,'002099','002099.SZ','0D10:10:22.971291000'
5278,113642994,5647240,20160226,202200,203200,202300,202400,202500,202600,202700,202800,202900,203000,200,1000,20400,8600,4400,6600,2400,11400,16600,29500,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,6800,1700,13500,9100,39100,31400,1000,5000,800,700,204500,220700,0,197200,180500,202100,5462,203300,200600,0,0,0,0,101022360,1978321,1572360,214300,191400,0,'002099','002099.SZ','0D10:10:26.013110000'
5288,113642994,5647240,20160226,202200,203200,202300,202400,202500,202600,202700,202800,202900,203000,200,1000,22000,8600,4600,6600,2400,11400,16600,29700,202100,201100,202000,201900,201800,201700,201600,201500,201400,201200,6900,1700,13500,9100,39100,31200,1000,5000,600,700,204500,220700,0,197200,180500,202100,5462,203300,200600,0,0,0,0,101025500,1981021,1572060,214300,191400,0,'002099','002099.SZ','0D10:10:29.056749000'
