,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
26477,567476722,35041959,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,6200,167600,86800,59700,99500,21030,48600,163900,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,64400,12900,105700,57900,126199,58600,40800,33000,37200,37800,164500,173900,0,157800,142300,163400,17902,157800,158100,0,0,913,0,111808440,11155302,5526309,168800,157700,0,776,000776.SZ,0D11:18:14.356223000
26490,567486526,35042559,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,5600,167600,87000,59700,99500,21030,48600,163900,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,64400,12900,105700,57900,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163400,17904,157800,158100,0,0,913,0,111813210,11155202,5525509,168800,157700,0,776,000776.SZ,0D11:18:17.535690000
26503,567507768,35043859,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4800,167600,87000,60500,99500,21030,48600,163400,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,64400,12900,105700,57900,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163400,17907,157800,158100,0,0,913,0,111815690,11149902,5525509,168800,157700,0,776,000776.SZ,0D11:18:20.472072000
26517,567530630,35045259,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4800,167600,87000,60500,99500,21030,48600,163400,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,68100,12900,105700,57900,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17909,157800,158100,0,0,913,0,111818680,11149902,5529209,168800,157700,0,776,000776.SZ,0D11:18:23.474995000
26531,567532264,35045359,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4800,167600,87000,60500,99500,21030,48600,158400,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,77100,12900,105700,62900,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163400,17910,157800,158100,0,0,913,0,111821530,11144902,5543209,168800,157700,0,776,000776.SZ,0D11:18:26.670235000
26544,567543699,35046059,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4500,167600,87000,60500,99500,21030,48600,158400,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,76800,12900,109500,62900,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163400,17912,157800,158100,0,0,913,0,111825440,11149902,5546709,168800,157700,0,776,000776.SZ,0D11:18:29.358643000
26559,567545332,35046159,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4500,167600,87000,60500,99500,20730,48600,158400,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,76700,12900,109500,62900,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17913,157800,158100,0,0,913,0,111826800,11149602,5546609,168800,157700,0,776,000776.SZ,0D11:18:32.403323000
26573,567564928,35047359,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4500,167600,87000,60500,99500,20730,48600,160000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,75500,12900,104500,62000,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17914,157800,158100,0,0,913,0,111829190,11151202,5539509,168800,157700,0,776,000776.SZ,0D11:18:35.454098000
26586,567589428,35048859,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,4400,167600,90000,60500,99500,20730,48600,160000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,74500,12900,104500,62000,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163400,17916,157800,158100,0,0,913,0,111833080,11154102,5538509,168800,157700,0,776,000776.SZ,0D11:18:38.635874000
26600,567659677,35053159,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,1400,167600,90000,60500,99500,20730,48600,160000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,73200,12900,104500,62000,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17925,157800,158100,0,0,913,0,111836510,11151202,5537209,168800,157700,0,776,000776.SZ,0D11:18:41.361656000
26614,567713574,35056459,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,1900,167600,90000,60500,99500,20730,48600,158000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,70700,12900,104500,62000,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17929,157800,158100,0,0,913,0,111839830,11149702,5534709,168800,157700,0,776,000776.SZ,0D11:18:44.422859000
26628,567725005,35057159,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,1900,167600,90000,60500,99500,20730,47600,158000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,71000,12900,104500,62000,126199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17931,157800,158100,0,0,913,0,111843360,11146202,5535009,168800,157700,0,776,000776.SZ,0D11:18:47.481335000
26643,567749515,35058659,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,400,167600,90000,60500,99500,20730,51600,158000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,71000,12900,105500,62000,123199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163400,17937,157800,158100,0,0,913,0,111845830,11153002,5533009,168800,157700,0,776,000776.SZ,0D11:18:50.507776000
26656,567791995,35061259,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,89200,256801,60500,99500,20730,52500,158000,116800,121000,167600,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,69700,12900,105500,62000,123199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163500,17940,157800,158100,0,0,913,0,111847250,11152702,5531709,168800,157700,0,776,000776.SZ,0D11:18:53.398532000
26670,567805059,35062059,20160503,163500,164400,163600,163700,163800,163900,164000,164100,164200,164300,89600,256801,60500,99800,21430,52500,158000,116800,121000,167600,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,68900,12900,105500,62000,123199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17941,157800,158100,0,0,913,0,111851710,11154802,5530909,168800,157700,0,776,000776.SZ,0D11:18:56.453050000
26685,567824655,35063259,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,1000,167600,89600,60000,99800,21430,52500,158000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,67700,12900,105500,62000,123199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17942,157800,158100,0,0,913,0,111854470,11156802,5529709,168800,157700,0,776,000776.SZ,0D11:18:59.435948000
26699,567840985,35064259,20160503,163400,164300,163500,163600,163700,163800,163900,164000,164100,164200,1000,167600,89600,60000,89800,21430,52500,158000,116800,121000,163300,162400,163200,163100,163000,162900,162800,162700,162600,162500,66700,12900,105500,62000,123199,58600,40000,33000,37200,37800,164500,173900,0,157800,142300,163300,17943,157800,158100,0,0,913,0,111856650,11141802,5528709,168800,157700,0,776,000776.SZ,0D11:19:02.585171000
